jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
Petersburg city,Virginia,358.7,98.9,,,,,,134.8
Portsmouth city,Virginia,111.5,111.9,,,,,,103.1
Richmond city,Virginia,86.6,209.4,62.9,,,,,134.3
Roanoke city,Virginia,182.3,78.1,,,,,,135.9
Suffolk city,Virginia,36.4,26.5,,,,,,29.4
Virginia Beach city,Virginia,27.1,25.3,,,,,,23.7
Benton County,Washington,22.5,,20.8,,,,,20.7
Grant County,Washington,42.2,,27.2,,,,,35.5
King County,Washington,43.3,93.7,37.0,8.2,,287.9,36.4,40.0
Pierce County,Washington,35.2,74.4,25.7,,,134.4,34.8,35.7
Snohomish County,Washington,35.5,,26.6,,,,28.3,29.0
Spokane County,Washington,36.3,91.3,47.4,,,157.3,49.5,40.6
Thurston County,Washington,46.6,,35.1,,,,,45.2
Whatcom County,Washington,29.8,,,,,183.4,,30.3
Yakima County,Washington,32.1,,14.1,,,136.4,,28.0
Cabell County,West Virginia,169.9,272.0,,,,,,166.1
Kanawha County,West Virginia,114.1,138.5,,,,,,110.5
Raleigh County,West Virginia,138.0,178.6,,,,,,137.2
Brown County,Wisconsin,20.2,,,,,223.1,,27.0
Dane County,Wisconsin,25.1,134.3,,,,,,29.0
Milwaukee County,Wisconsin,68.1,106.6,50.5,,,,,71.6
Racine County,Wisconsin,19.0,60.8,,,,,,23.0
Rock County,Wisconsin,36.8,162.9,,,,,,42.1
